Date,Open,High,Low,Close,Volume
04/26/2024,"412.17","413.00","405.76","406.32","29,694,650"
04/25/2024,"394.03","399.89","388.03","399.04","40,586,449"
04/24/2024,"409.56","412.47","406.78","409.06","15,065,330"
04/23/2024,"404.24","408.20","403.06","407.57","15,734,500"
04/22/2024,"400.08","402.85","395.75","400.96","20,286,881"
04/19/2024,"404.03","405.48","397.77","399.12","30,565,789"
04/18/2024,"410.63","411.89","403.95","404.27","21,029,920"
04/17/2024,"417.25","418.88","410.33","411.84","15,855,490"
04/16/2024,"414.57","418.40","413.73","414.58","16,765,619"
04/15/2024,"426.60","426.82","413.43","413.64","20,273,539"
04/12/2024,"424.05","425.18","419.77","421.90","19,253,750"
04/11/2024,"425.82","429.37","422.36","427.93","17,966,420"
04/10/2024,"422.19","424.03","419.70","423.26","16,216,580"
04/09/2024,"426.44","427.74","421.62","426.28","12,512,290"
04/08/2024,"425.17","427.28","423.30","424.59","14,272,390"
04/05/2024,"420.01","426.51","418.32","425.52","16,554,760"
04/04/2024,"424.99","428.67","417.57","417.88","19,370,881"
04/03/2024,"419.73","423.26","419.09","420.45","16,502,260"
04/02/2024,"420.11","422.38","417.84","421.44","17,911,990"
04/01/2024,"423.95","427.89","422.22","424.57","16,315,960"
03/28/2024,"420.96","421.87","419.12","420.72","21,871,160"
03/27/2024,"424.44","424.45","419.01","421.43","16,704,980"
03/26/2024,"425.61","425.99","421.35","421.65","16,725,650"
03/25/2024,"425.24","427.41","421.61","422.86","18,060,449"
03/22/2024,"429.70","429.86","426.07","428.74","17,648,471"
03/21/2024,"429.83","430.82","427.16","429.37","21,296,221"
03/20/2024,"422.00","425.96","420.66","425.23","17,860,090"
03/19/2024,"417.83","421.67","415.55","421.41","19,837,920"
03/18/2024,"414.25","420.73","413.78","417.32","20,105,980"
03/15/2024,"419.29","422.60","412.79","416.42","45,079,898"
03/14/2024,"420.24","427.82","417.99","425.22","34,157,301"
03/13/2024,"418.10","418.18","411.45","415.10","17,115,930"
03/12/2024,"407.62","415.57","406.79","415.28","22,457,000"
03/11/2024,"403.76","405.68","401.26","404.52","16,120,750"
03/08/2024,"407.96","410.42","404.33","406.22","18,002,189"
03/07/2024,"406.12","409.78","402.24","409.14","18,718,480"
03/06/2024,"402.97","405.16","398.39","402.09","22,344,150"
03/05/2024,"413.96","414.25","400.64","402.65","26,919,180"
03/04/2024,"413.44","417.35","412.32","414.92","17,595,961"
03/01/2024,"411.27","415.87","410.88","415.50","17,823,449"
02/29/2024,"408.64","414.20","405.92","413.64","31,947,260"
02/28/2024,"408.18","409.30","405.32","407.72","13,183,130"
02/27/2024,"407.99","408.32","403.85","407.48","14,835,830"
02/26/2024,"411.46","412.16","407.36","407.54","16,193,510"
02/23/2024,"415.67","415.86","408.97","410.34","16,295,880"
02/22/2024,"410.19","412.83","408.57","411.65","27,009,869"
02/21/2024,"400.17","402.29","397.22","402.18","18,631,070"
02/20/2024,"403.24","404.49","398.01","402.79","24,307,920"
02/16/2024,"407.96","408.29","403.44","404.06","22,296,500"
02/15/2024,"408.14","409.13","404.29","406.56","21,825,529"
02/14/2024,"408.07","409.84","404.57","409.49","20,401,189"
02/13/2024,"404.94","410.07","403.39","406.32","27,824,939"
02/12/2024,"420.56","420.74","414.75","415.26","21,202,920"
02/09/2024,"415.25","420.82","415.09","420.55","22,032,840"
02/08/2024,"414.05","415.56","412.53","414.11","21,225,260"
02/07/2024,"407.44","414.30","407.40","414.05","22,340,529"
02/06/2024,"405.88","407.97","402.91","405.49","18,382,619"
02/05/2024,"409.90","411.16","403.99","405.65","25,352,289"
02/02/2024,"403.81","412.65","403.56","411.22","28,256,670"
02/01/2024,"401.83","408.00","401.80","403.78","30,657,730"
01/31/2024,"406.96","415.32","397.21","397.58","47,871,102"
01/30/2024,"412.26","413.05","406.45","408.59","33,477,609"
01/29/2024,"406.06","409.98","404.33","409.72","24,510,240"
01/26/2024,"404.37","406.17","402.43","403.93","17,803,270"
01/25/2024,"404.32","407.01","402.53","404.87","21,021,160"
01/24/2024,"401.54","405.63","400.45","402.56","24,866,949"
01/23/2024,"395.75","399.38","393.93","398.90","20,525,881"
01/22/2024,"400.02","400.62","393.59","396.51","27,016,900"
01/19/2024,"395.76","398.67","393.50","398.67","29,331,141"
01/18/2024,"391.72","393.99","390.12","393.87","23,392,070"
01/17/2024,"387.98","390.11","384.81","389.47","22,234,109"
01/16/2024,"393.66","394.03","387.62","390.27","27,202,270"
01/12/2024,"385.49","388.68","384.65","388.47","21,661,150"
01/11/2024,"386.00","390.68","380.38","384.63","27,850,850"
01/10/2024,"376.37","384.17","376.32","382.77","25,514,250"
01/09/2024,"372.01","375.99","371.19","375.79","20,829,949"
